pygaze initiation report start
display resolution: 1920x1080
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
310.018		1114.0	1260.0	1	1082.0	1213.0	1	1098	1236	4.7658	1	4.6084	1
325.723		1114.0	1260.0	1	1088.0	1212.0	1	1101	1236	4.7617	1	4.6126	1
342.155		1112.0	1261.0	1	1092.0	1215.0	1	1102	1238	4.7667	1	4.6192	1
358.968		1114.0	1263.0	1	1087.0	1214.0	1	1100	1238	4.7621	1	4.6218	1
375.543		1108.0	1260.0	1	1088.0	1205.0	1	1098	1232	4.7638	1	4.616	1
392.713		1113.0	1263.0	1	1088.0	1208.0	1	1100	1235	4.7673	1	4.6239	1
409.028		1114.0	1261.0	1	1089.0	1210.0	1	1102	1235	4.7692	1	4.6269	1
425.954		1116.0	1259.0	1	1087.0	1207.0	1	1102	1233	4.7764	1	4.6313	1
442.352		1115.0	1265.0	1	1088.0	1208.0	1	1102	1236	4.7731	1	4.6203	1
459.032		1112.0	1263.0	1	1086.0	1212.0	1	1099	1237	4.7821	1	4.6264	1
475.975		1113.0	1262.0	1	1088.0	1208.0	1	1100	1235	4.7902	1	4.6229	1
492.586		1108.0	1262.0	1	1090.0	1210.0	1	1099	1236	4.7957	1	4.6324	1
508.763		1108.0	1259.0	1	1090.0	1208.0	1	1099	1233	4.7818	1	4.6326	1
525.808		1116.0	1259.0	1	1086.0	1210.0	1	1101	1234	4.8111	1	4.6313	1
542.306		1112.0	1259.0	1	1086.0	1206.0	1	1099	1232	4.8052	1	4.6397	1
559.141		1114.0	1256.0	1	1086.0	1205.0	1	1100	1230	4.8104	1	4.6469	1
575.674		1117.0	1260.0	1	1093.0	1208.0	1	1105	1234	4.8212	1	4.6506	1
592.789		1110.0	1256.0	1	1087.0	1203.0	1	1098	1229	4.8222	1	4.6612	1
609.164		1115.0	1262.0	1	1088.0	1205.0	1	1102	1233	4.8354	1	4.665	1
626.441		1115.0	1254.0	1	1090.0	1203.0	1	1102	1228	4.8527	1	4.672	1
642.505		1111.0	1259.0	1	1083.0	1209.0	1	1097	1234	4.8488	1	4.6752	1
659.157		1111.0	1254.0	1	1086.0	1198.0	1	1098	1226	4.8656	1	4.687	1
675.591		1111.0	1247.0	1	1092.0	1202.0	1	1102	1224	4.8739	1	4.7008	1
701.457		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
726.198		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
726.373		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
742.656		1110.0	1253.0	1	1089.0	1202.0	1	1100	1227	4.9021	1	4.7247	1
759.429		1116.0	1250.0	1	1085.0	1201.0	1	1100	1225	4.9129	1	4.7248	1
776.144		1111.0	1253.0	1	1087.0	1197.0	1	1099	1225	4.9112	1	4.7439	1
792.696		1116.0	1252.0	1	1087.0	1201.0	1	1102	1226	4.915	1	4.7421	1
809.226		1114.0	1248.0	1	1084.0	1203.0	1	1099	1225	4.9312	1	4.7562	1
825.594		1111.0	1251.0	1	1086.0	1205.0	1	1098	1228	4.9299	1	4.7619	1
842.442		1118.0	1249.0	1	1085.0	1203.0	1	1102	1226	4.9366	1	4.7708	1
859.518		1112.0	1254.0	1	1092.0	1198.0	1	1102	1226	4.9377	1	4.78	1
875.851		1117.0	1297.0	1	1081.0	1239.0	1	1099	1268	4.8491	1	4.7052	1
880.044		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
896.844		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
913.964		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
939.77		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
948.361		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
965.099		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
981.966		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
998.827		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1010.514	Experiment BounCES subjCode BOP002key trialOrder 1 trialType AG trialID 1 blockID 1 leftImage None rightImage None label None video None trialDuration None trialStartSilence None trialEndSilence None AG 1.0 AGType movie AGImage None AGAudio balloons_5 AGVideo balloons_5 AGTime 5000.0 AGgetInput None AGWidth None AGHeight None
1015.635		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1035.928		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1050.859		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1068.015		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1079.67		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1098.689		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1116.205		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
