pygaze initiation report start
display resolution: 1920x1080
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
308.441		1354.0	1164.0	1	1267.0	1180.0	1	1310	1172	3.8581	1	4.0005	1
325.378		1351.0	1157.0	1	1264.0	1178.0	1	1308	1167	3.8794	1	3.9745	1
341.787		1358.0	1163.0	1	1270.0	1182.0	1	1314	1172	3.9128	1	4.0075	1
358.371		1359.0	1173.0	1	1274.0	1180.0	1	1316	1176	3.9243	1	4.0138	1
374.979		1354.0	1167.0	1	1267.0	1183.0	1	1310	1175	3.9117	1	3.9913	1
391.813		1364.0	1168.0	1	1270.0	1183.0	1	1317	1175	3.9213	1	4.0224	1
408.515		1356.0	1172.0	1	1266.0	1177.0	1	1311	1174	3.9552	1	4.0155	1
434.375		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
459.841		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
460.495		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
475.844		1352.0	1163.0	1	1267.0	1175.0	1	1310	1169	3.9785	1	4.069	1
492.911		1358.0	1161.0	1	1260.0	1174.0	1	1309	1167	3.9851	1	4.0697	1
509.027		1360.0	1155.0	1	1261.0	1179.0	1	1310	1167	3.9989	1	4.0604	1
526.331		1356.0	1163.0	1	1269.0	1186.0	1	1312	1174	4.0122	1	4.101	1
543.058		1349.0	1164.0	1	1273.0	1179.0	1	1311	1171	4.0364	1	4.072	1
558.897		1354.0	1169.0	1	1282.0	1173.0	1	1318	1171	4.0107	1	4.1088	1
575.511		1353.0	1166.0	1	1273.0	1177.0	1	1313	1171	4.0366	1	4.0957	1
592.006		1357.0	1167.0	1	1268.0	1179.0	1	1312	1173	4.0231	1	4.0893	1
