pygaze initiation report start
display resolution: 1920x1080
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
325.444		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
325.59		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
354.485		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
354.843		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
374.697		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
375.032		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
392.323		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
408.864		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
425.159		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
441.688		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
458.42		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
475.113		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
492.204		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
509.096		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
525.898		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
540.614		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
557.4		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
573.516		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
590.383		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
612.238		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
624.069		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
638.799		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
669.352		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
707.885		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
708.489		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
742.12		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
743.004		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
775.356		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
776.262		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
809.266		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
809.934		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
837.118		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
838.114		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
