pygaze initiation report start
display resolution: 1920x1080
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
306.393		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
322.458		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
339.393		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
356.371		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
374.512		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
389.476		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
409.752		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
425.199		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
444.019		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
457.455		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
473.002		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
490.577		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
507.209		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
523.583		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
540.725		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
564.651		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
578.256		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
602.392		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
623.749		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
623.894		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
640.289		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
655.777		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
672.825		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
689.676		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
705.773		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
724.315		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
741.055		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
758.803		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
773.128		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
788.921		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
806.703		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
825.452		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
838.858		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
855.858		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
872.825		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
890.6		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
908.304		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
922.605		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
940.338		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
956.078		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
975.152		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
